Titulo,Presupuesto_promedio,Recaudacion_promedio
Avatar,237000000.0,2884802783.5
Jurassic World,182500000.0,1670758705.5
Black Panther,200000000.0,1343210202.0
Titanic,200000000.0,2236364925.0
Toy Story 4,200000000.0,1073460861.5
Toy Story 3,200000000.0,1068097811.5
Iron Man 3,200000000.0,1215484738.5
Thor: Ragnarok,180000000.0,852892292.0
Coco,175000000.0,806001739.5
Aquaman,160000000.0,1146143546.5
Inception,160000000.0,799346494.0
Frozen II,150000000.0,1449432878.0
Frozen,150000000.0,1275153845.5
Zootopia,150000000.0,1015075812.0
Top Gun: Maverick,155000000.0,746745929.0
Venom,108000000.0,854808025.0
Venom,62500000.0,428483448.0
Jumanji: Welcome to the Jungle,90000000.0,978476158.0
Shrek 2,110000000.0,932007374.0
Jurassic Park,63000000.0,1079355791.5
Joker,55000000.0,1073482899.5
