Titulo,avg_presupuesto,avg_recaudacion
Jurassic Park,63000000.0,1075474214.1666667
Titanic,200000000.0,2234251831.3333335
Shrek 2,136666666.66666666,929842971.3333334
Inception,160000000.0,825071363.6666666
Toy Story 3,200000000.0,1067461574.5
Iron Man 3,200000000.0,1215291065.1666667
Frozen,150000000.0,1280400821.1666667
Jurassic World,160833333.33333334,1670937531.1666667
Zootopia,150000000.0,1021572868.3333334
Thor: Ragnarok,180000000.0,854059336.3333334
Jumanji: Welcome to the Jungle,90000000.0,978786073.3333334
Coco,175000000.0,809385560.5
Black Panther,200000000.0,1346911419.3333333
Aquaman,160000000.0,1147719275.1666667
Venom,102666666.66666667,855659442.3333334
Venom,87500000.0,713551250.0
Joker,55000000.0,1074122850.5
Toy Story 4,200000000.0,1073565616.1666666
Frozen II,150000000.0,1451047762.3333333
