Película,Recaudación Mundial,Presupuesto,Distribuidora,Año de Estreno
Avatar,2923706026,237000000,20th Century Fox,2009
Vengadores : Endgame,2799439100,356000000,Walt Disney Studios Motion Pictures,2019
Avatar: El sentido del agua,2320250281,356000000,Walt Disney Studios Motion Pictures,2022
Titanic,2264743305,200000000,20th Century Fox/Paramount Pictures,1997
Star Wars: El Despertar de la Fuerza (Episodio VII),2071310218,306000000,Walt Disney Studios Motion Pictures,2015
Vengadores: Infinity War,2052415039,356000000,Walt Disney Studios Motion Pictures,2018
Spider-Man: No Way Home,1921847111,200000000,Sony Pictures,2021
Jurassic World,1671537444,150000000,Universal Pictures,2015
El Rey León,1663075401,260000000,Walt Disney Studios Motion Pictures,2019
Los Vengadores,1520538536,220000000,Walt Disney Studios Motion Pictures,2012
Fast & Furious 7,1515341399,190000000,Universal Pictures,2015
Top Gun: Maverick,1493491858,170000000,Paramount Pictures,2022
Frozen II,1453683476,150000000,Walt Disney Studios Motion Pictures,2019
Barbie,1441769400,145000000,Warner Bros.,2023
Vengadores: La era de Ultrón,1405018048,250000000,Walt Disney Studios Motion Pictures,2015
Super Mario Bros.: La película,1361888017,100000000,Universal Pictures,2023
Black Panther,1349926083,200000000,Walt Disney Studios Motion Pictures,2018
Harry Potter y las Reliquias de la Muerte: Parte 2,1342359942,250000000,Warner Bros.,2011
Star Wars: Los Últimos Jedi (Episodio VIII),1334407706,317000000,Walt Disney Studios Motion Pictures,2017
Jurassic World: El reino caído,1310466296,170000000,Universal Pictures,2018
Frozen,1284540518,150000000,Walt Disney Studios Motion Pictures,2013
La Bella y la Bestia,1266115964,160000000,Walt Disney Studios Motion Pictures,2017
Los Increíbles 2,1243225667,200000000,Walt Disney Studios Motion Pictures,2018
Fast & Furious 8,1236005118,250000000,Universal Pictures,2017
Iron Man 3,1215577205,200000000,Walt Disney Studios Motion Pictures,2013
Los minions,1159444662,74000000,Universal Pictures,2015
Capitán América: Civil War,1155046416,250000000,Walt Disney Studios Motion Pictures,2016
Aquaman,1148528393,160000000,Warner Bros.,2018
El Señor de los Anillos: El Retorno del Rey,1147633833,94000000,New Line Cinema,2003
007:Skyfall,1142471295,200000000,Sony Pictures ReleasingUnited Artists Releasing,2012
Spider-Man: Lejos de Casa,1131927996,160000000,Sony Pictures,2019
Capitana Marvel,1131416446,152000000,Walt Disney Studios Motion Pictures,2019
Transformers: El Lado Oscuro de la Luna,1123794079,195000000,Paramount Pictures,2011
Jurassic Park,1113138548,63000000,Universal Pictures,1993
Transformers: La Era de la Extinción,1104054072,210000000,Paramount Pictures,2014
Batman: El Caballero de la Noche Asciende,1081169825,230000000,Warner Bros.,2012
Star Wars: Episodio IX - El Ascenso de Skywalker,1077022372,275000000,Walt Disney Studios Motion Pictures,2019
